"uniprotkb_canonical_ac","gene_id","gene_name","gene_names_alternative","uniprotkb_protein_recommended_name","glycoenzyme_gene_id","gene_group"
"P21217-1","2525","FUT3","LE;FT3B","3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase FUT3","HGT10_M08","Glycosyltransferase"
"P19526-1","2523","FUT1","H;HSC","Galactoside alpha-(1,2)-fucosyltransferase 1","HGT11_M01","Glycosyltransferase"
"Q10981-1","2524","FUT2","SEC2","Galactoside alpha-(1,2)-fucosyltransferase 2","HGT11_M02","Glycosyltransferase"
"Q8NHY0-1","124872","B4GALNT2","GALGT2","Beta-1,4 N-acetylgalactosaminyltransferase 2","HGT12_M01","Glycosyltransferase"
"Q00973-1","2583","B4GALNT1","GALGT;SIAT2","Beta-1,4 N-acetylgalactosaminyltransferase 1","HGT12_M02","Glycosyltransferase"
"P26572-1","4245","MGAT1","GGNT1;GLCT1;GLYT1;MGAT","Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase","HGT13_M01","Glycosyltransferase"
"Q8WZA1-1","55624","POMGNT1","MGAT1.2;DKFZp761B182","Protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1","HGT13_M02","Glycosyltransferase"
"Q8N0V5-1","2651","GCNT2","II;GCNT5;NACGT1","N-acetyllactosaminide beta-1,6-N-acetylglucosaminyl-transferase","HGT14_M01","Glycosyltransferase"
"Q02742-1","2650","GCNT1","NACGT2","Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase","HGT14_M02","Glycosyltransferase"
"O95395-1","9245","GCNT3","","Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 3","HGT14_M03","Glycosyltransferase"
"Q9H1B5-1","64132","XYLT2","XT2","Xylosyltransferase 2","HGT14_M04","Glycosyltransferase"
"Q86Y38-1","64131","XYLT1","XT1","Xylosyltransferase 1","HGT14_M05","Glycosyltransferase"
"Q6ZNI0-1","140687","GCNT7","C20orf105","Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 7","HGT14_M06","Glycosyltransferase"
"Q9BY42-1","51507","RTF2","RTFDC1;C20orf43","Replication termination factor 2","HGT14_M07","Glycosyltransferase"
"Q9P109-1","","GCNT4","","Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 4","HGT14_M09","Glycosyltransferase"
"Q10469-1","4247","MGAT2","","Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase","HGT16_M01","Glycosyltransferase"
"Q09327-1","4248","MGAT3","GGNT3","Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase","HGT17_M01","Glycosyltransferase"
"Q3V5L5-1","146664","MGAT5B","KIAA2008","Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase B","HGT18_M01","Glycosyltransferase"
"Q09328-1","4249","MGAT5","GGNT5","Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A","HGT18_M02","Glycosyltransferase"
"Q16739-1","7357","UGCG","","Ceramide glucosyltransferase","HGT21_M01","Glycosyltransferase"
"Q9BV10-1","79087","ALG12","","Dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase","HGT22_M01","Glycosyltransferase"
"Q9H6U8-1","79796","ALG9","DIBD1","Alpha-1,2-mannosyltransferase ALG9","HGT22_M02","Glycosyltransferase"
"Q92521-1","9488","PIGB","","GPI mannosyltransferase 3","HGT22_M03","Glycosyltransferase"
"Q86VD9-1","80235","PIGZ","SMP3","GPI mannosyltransferase 4","HGT22_M04","Glycosyltransferase"
"Q9BYC5-1","2530","FUT8","","Alpha-(1,6)-fucosyltransferase","HGT23_M01","Glycosyltransferase"
"Q9NYU2-1","56886","UGGT1","GT;UGT1;UGCGL1;UGGT;UGTR","UDP-glucose:glycoprotein glucosyltransferase 1","HGT24_M01","Glycosyltransferase"
"Q9NYU1-1","55757","UGGT2","UGT2;UGCGL2","UDP-glucose:glycoprotein glucosyltransferase 2","HGT24_M02","Glycosyltransferase"
"Q8NBJ5-1","79709","COLGALT1","GLT25D1","Procollagen galactosyltransferase 1","HGT25_M01","Glycosyltransferase"
"Q8IYK4-1","23127","COLGALT2","C1orf17;GLT25D2;KIAA0584","Procollagen galactosyltransferase 2","HGT25_M02","Glycosyltransferase"
"Q5T4B2-1","51148","CERCAM","CEECAM1;GLT25D3;KIAA1502","Inactive glycosyltransferase 25 family member 3","HGT25_M03","Glycosyltransferase"
"Q7Z4T8-1","168391","GALNTL5","GALNT15","Inactive polypeptide N-acetylgalactosaminyltransferase-like protein 5","HGT27_M01","Glycosyltransferase"
"Q86SF2-1","51809","GALNT7","","N-acetylgalactosaminyltransferase 7","HGT27_M02","Glycosyltransferase"
"Q86SR1-1","55568","GALNT10","","Polypeptide N-acetylgalactosaminyltransferase 10","HGT27_M03","Glycosyltransferase"
"Q6P9A2-1","374378","GALNT18","GALNTL4","Polypeptide N-acetylgalactosaminyltransferase 18","HGT27_M04","Glycosyltransferase"
"Q14435-1","2591","GALNT3","","Polypeptide N-acetylgalactosaminyltransferase 3","HGT27_M05","Glycosyltransferase"
"Q8N4A0-1","8693","GALNT4","","Polypeptide N-acetylgalactosaminyltransferase 4","HGT27_M06","Glycosyltransferase"
"Q8NCL4-1","11226","GALNT6","","Polypeptide N-acetylgalactosaminyltransferase 6","HGT27_M07","Glycosyltransferase"
"Q10471-1","2590","GALNT2","","Polypeptide N-acetylgalactosaminyltransferase 2","HGT27_M08","Glycosyltransferase"
"Q7Z7M9-1","11227","GALNT5","","Polypeptide N-acetylgalactosaminyltransferase 5","HGT27_M09","Glycosyltransferase"
"Q10472-1","2589","GALNT1","","Polypeptide N-acetylgalactosaminyltransferase 1","HGT27_M10","Glycosyltransferase"
"Q8IUC8-1","114805","GALNT13","KIAA1918","Polypeptide N-acetylgalactosaminyltransferase 13","HGT27_M11","Glycosyltransferase"
"Q8IXK2-1","79695","GALNT12","","Polypeptide N-acetylgalactosaminyltransferase 12","HGT27_M12","Glycosyltransferase"
"Q96FL9-1","79623","GALNT14","","Polypeptide N-acetylgalactosaminyltransferase 14","HGT27_M13","Glycosyltransferase"
"Q8N3T1-1","117248","GALNT15","GALNTL2","Polypeptide N-acetylgalactosaminyltransferase 15","HGT27_M14","Glycosyltransferase"
"Q8N428-1","57452","GALNT16","GALNTL1;KIAA1130","Polypeptide N-acetylgalactosaminyltransferase 16","HGT27_M15","Glycosyltransferase"
"Q9HCQ5-1","50614","GALNT9","","Polypeptide N-acetylgalactosaminyltransferase 9","HGT27_M16","Glycosyltransferase"
"Q8NCW6-1","63917","GALNT11","","Polypeptide N-acetylgalactosaminyltransferase 11","HGT27_M17","Glycosyltransferase"
"Q49A17-1","442117","GALNTL6","GALNT17","Polypeptide N-acetylgalactosaminyltransferase-like 6","HGT27_M18","Glycosyltransferase"
"Q6IS24-1","64409","GALNT17","WBSCR17","Polypeptide N-acetylgalactosaminyltransferase 17","HGT27_M19","Glycosyltransferase"
"Q9NY28-1","26290","GALNT8","","Probable polypeptide N-acetylgalactosaminyltransferase 8","HGT27_M20","Glycosyltransferase"
"Q11201-1","6482","ST3GAL1","SIAT4;SIAT4A","CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1","HGT29_M01","Glycosyltransferase"
"Q16842-1","6483","ST3GAL2","SIAT4B","CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 2","HGT29_M02","Glycosyltransferase"
"Q11203-1","6487","ST3GAL3","SIAT6","CMP-N-acetylneuraminate-beta-1,4-galactoside alpha-2,3-sialyltransferase","HGT29_M03","Glycosyltransferase"
"Q11206-1","6484","ST3GAL4","CGS23;NANTA3;SIAT4C;STZ","CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 4","HGT29_M04","Glycosyltransferase"
"Q9Y274-1","10402","ST3GAL6","SIAT10","Type 2 lactosamine alpha-2,3-sialyltransferase","HGT29_M05","Glycosyltransferase"
"Q9UJ37-1","10610","ST6GALNAC2","SIAT7B;SIATL1;STHM","Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2","HGT29_M06","Glycosyltransferase"
"P15907-1","6480","ST6GAL1","SIAT1","Beta-galactoside alpha-2,6-sialyltransferase 1","HGT29_M07","Glycosyltransferase"
"Q96JF0-1","84620","ST6GAL2","SIAT2;KIAA1877","Beta-galactoside alpha-2,6-sialyltransferase 2","HGT29_M08","Glycosyltransferase"
"Q9NSC7-1","55808","ST6GALNAC1","SIAT7A","Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 1","HGT29_M09","Glycosyltransferase"
"Q8NDV1-1","256435","ST6GALNAC3","SIAT7C","Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3","HGT29_M10","Glycosyltransferase"
"Q9H4F1-1","27090","ST6GALNAC4","SIAT3C;SIAT7D","Alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3-N-acetyl-galactosaminide alpha-2,6-sialyltransferase","HGT29_M11","Glycosyltransferase"
"Q92185-1","6489","ST8SIA1","SIAT8;SIAT8A","Alpha-N-acetylneuraminide alpha-2,8-sialyltransferase","HGT29_M12","Glycosyltransferase"
"P61647-1","338596","ST8SIA6","SIAT8F","Alpha-2,8-sialyltransferase 8F","HGT29_M13","Glycosyltransferase"
"Q92186-1","8128","ST8SIA2","SIAT8B;STX","Alpha-2,8-sialyltransferase 8B","HGT29_M14","Glycosyltransferase"
"Q92187-1","7903","ST8SIA4","PST;PST1;SIAT8D","CMP-N-acetylneuraminate-poly-alpha-2,8-sialyltransferase","HGT29_M15","Glycosyltransferase"
"O15466-1","29906","ST8SIA5","SIAT8E","Alpha-2,8-sialyltransferase 8E","HGT29_M16","Glycosyltransferase"
"O43173-1","51046","ST8SIA3","SIAT8C","Alpha-N-acetylneuraminate alpha-2,8-sialyltransferase ST8SIA3","HGT29_M17","Glycosyltransferase"
"Q9BVH7-1","81849","ST6GALNAC5","SIAT7E","Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5","HGT29_M18","Glycosyltransferase"
"Q9UNP4-1","8869","ST3GAL5","SIAT9","Lactosylceramide alpha-2,3-sialyltransferase","HGT29_M19","Glycosyltransferase"
"Q969X2-1","30815","ST6GALNAC6","SIAT7F","Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 6","HGT29_M20","Glycosyltransferase"
"Q6UX72-1","84752","B3GNT9","","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 9","HGT31_M01","Glycosyltransferase"
"Q9Y2A9-1","10331","B3GNT3","B3GALT8;TMEM3","N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 3","HGT31_M02","Glycosyltransferase"
"Q9C0J1-1","79369","B3GNT4","","N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 4","HGT31_M03","Glycosyltransferase"
"Q9NS00-1","56913","C1GALT1","","Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1","HGT31_M04","Glycosyltransferase"
"Q9Y2C3-1","10317","B3GALT5","","Beta-1,3-galactosyltransferase 5","HGT31_M05","Glycosyltransferase"
"Q9Y5Z6-1","8708","B3GALT1","","Beta-1,3-galactosyltransferase 1","HGT31_M06","Glycosyltransferase"
"O43825-1","8707","B3GALT2","","Beta-1,3-galactosyltransferase 2","HGT31_M07","Glycosyltransferase"
"O75752-1","8706","B3GALNT1","B3GALT3","UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 1","HGT31_M08","Glycosyltransferase"
"O96024-1","8705","B3GALT4","GALT4","Beta-1,3-galactosyltransferase 4","HGT31_M09","Glycosyltransferase"
"Q8NES3-1","3955","LFNG","","Beta-1,3-N-acetylglucosaminyltransferase lunatic fringe","HGT31_M10","Glycosyltransferase"
"O00587-1","4242","MFNG","","Beta-1,3-N-acetylglucosaminyltransferase manic fringe","HGT31_M11","Glycosyltransferase"
"Q9Y644-1","5986","RFNG","","Beta-1,3-N-acetylglucosaminyltransferase radical fringe","HGT31_M12","Glycosyltransferase"
"Q96L58-1","126792","B3GALT6","","Beta-1,3-galactosyltransferase 6","HGT31_M13","Glycosyltransferase"
"Q9BYG0-1","84002","B3GNT5","","Lactosylceramide 1,3-N-acetyl-beta-D-glucosaminyltransferase","HGT31_M14","Glycosyltransferase"
"Q8NCR0-1","148789","B3GALNT2","","UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 2","HGT31_M15","Glycosyltransferase"
"Q9NY97-1","10678","B3GNT2","B3GNT1;B3GALT7","N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 2","HGT31_M16","Glycosyltransferase"
"Q8NFL0-1","93010","B3GNT7","","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7","HGT31_M17","Glycosyltransferase"
"Q96EU7-1","29071","C1GALT1C1","COSMC","C1GALT1-specific chaperone 1","HGT31_M18","Glycosyltransferase"
"Q7Z7M8-1","374907","B3GNT8","B3GALT7;BGALT15","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8","HGT31_M21","Glycosyltransferase"
"Q6ZMB0-1","192134","B3GNT6","","Acetylgalactosaminyl-O-glycosyl-glycoprotein beta-1,3-N-acetylglucosaminyltransferase","HGT31_M22","Glycosyltransferase"
"Q70JA7-1","337876","CHSY3","CHSY2;CSS3","Chondroitin sulfate synthase 3","HGT31_M23","Glycosyltransferase"
"Q9P2E5-1","54480","CHPF2","CSGlcA-T;CHSY3;CSGLCAT;KIAA1402","Chondroitin sulfate glucuronyltransferase","HGT31_M24","Glycosyltransferase"
"Q6Y288-1","145173","B3GLCT","B3GALTL;B3GTL","Beta-1,3-glucosyltransferase","HGT31_M25","Glycosyltransferase"
"Q86X52-1","22856","CHSY1","CHSY;CSS1;KIAA0990","Chondroitin sulfate synthase 1","HGT31_M26","Glycosyltransferase"
"Q8IZ52-1","79586","CHPF","CSS2","Chondroitin sulfate synthase 2","HGT31_M27","Glycosyltransferase"
"Q9UNA3-1","51146","A4GNT","","Alpha-1,4-N-acetylglucosaminyltransferase","HGT32_M01","Glycosyltransferase"
"Q9NPC4-1","53947","A4GALT","A14GALT;A4GALT1","Lactosylceramide 4-alpha-galactosyltransferase","HGT32_M02","Glycosyltransferase"
"Q9BT22-1","56052","ALG1","HMAT1;HMT1","Chitobiosyldiphosphodolichol beta-mannosyltransferase","HGT33_M01","Glycosyltransferase"
"P06737-1","5836","PYGL","","Glycogen phosphorylase, liver form","HGT35_M01","Glycosyltransferase"
"P11217-1","5837","PYGM","","Glycogen phosphorylase, muscle form","HGT35_M02","Glycosyltransferase"
"P11216-1","5834","PYGB","","Glycogen phosphorylase, brain form","HGT35_M03","Glycosyltransferase"
"Q9Y6A1-1","10585","POMT1","","Protein O-mannosyl-transferase 1","HGT39_M01","Glycosyltransferase"
"Q9UKY4-1","29954","POMT2","","Protein O-mannosyl-transferase 2","HGT39_M02","Glycosyltransferase"
"O15294-1","8473","OGT","","UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit","HGT41_M01","Glycosyltransferase"
"O94766-1","26229","B3GAT3","","Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3","HGT43_M01","Glycosyltransferase"
"Q9P2W7-1","27087","B3GAT1","GLCATP","Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 1","HGT43_M02","Glycosyltransferase"
"Q9NPZ5-1","135152","B3GAT2","GLCATS;KIAA1963","Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 2","HGT43_M03","Glycosyltransferase"
"Q9NPZ5-1","135152","B3GAT2","GLCATS;KIAA1963","Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 2","HGT43_M03",""
"Q16394-1","2131","EXT1","","Exostosin-1","HGT47_M01","Glycosyltransferase"
"Q93063-1","2132","EXT2","","Exostosin-2","HGT47_M02","Glycosyltransferase"
"Q92935-1","2134","EXTL1","EXTL","Exostosin-like 1","HGT47_M03","Glycosyltransferase"
"O43909-1","2137","EXTL3","EXTL1L;EXTR1;KIAA0519","Exostosin-like 3","HGT47_M04","Glycosyltransferase"
"O43505-1","11041","B4GAT1","B3GNT1;B3GNT6","Beta-1,4-glucuronyltransferase 1","HGT49_M01","Glycosyltransferase"
"Q9H3S5-1","93183","PIGM","","GPI mannosyltransferase 1","HGT50_M01","Glycosyltransferase"
"Q9UBM8-1","25834","MGAT4C","","Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase C","HGT54_M02","Glycosyltransferase"
"Q9UM21-1","11320","MGAT4A","","Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A","HGT54_M03","Glycosyltransferase"
"Q9UQ53-1","11282","MGAT4B","","Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B","HGT54_M04","Glycosyltransferase"
"A6NG13-1","152586","MGAT4D","","Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase-like protein MGAT4D","HGT54_M05","Glycosyltransferase"
"P26006-2","3675","ITGA3","MSK18","Integrin alpha-3","HGT54_M07","Glycosyltransferase"
"Q9Y672-1","29929","ALG6","","Dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase","HGT57_M01","Glycosyltransferase"
"Q9BVK2-1","79053","ALG8","","Dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase","HGT57_M02","Glycosyltransferase"
"Q92685-1","10195","ALG3","NOT;NOT56L","Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase","HGT58_M01","Glycosyltransferase"
"Q5BKT4-1","84920","ALG10","ALG10A","Dol-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-Dol alpha-1,2-glucosyltransferase","HGT59_M01","Glycosyltransferase"
"Q5NDL2-1","285203","EOGT","C3orf64;AER61;EOGT1","EGF domain-specific O-linked N-acetylglucosamine transferase","HGT61_M01","Glycosyltransferase"
